Cites,Author,Title,Year,Abstract,URL,
"3427","M Weiser - Communications of the ACM, 1993 - dl.acm.org","Some computer science issues in ubiquitous computing"," 1993 ","ponei: omputer~ ince we: most elI~ invisible~ computmg enhances computer use by~ any computers ava le~ hroughout the p, while making them effectlvely invisible~ ticle explains what is new~ and different science involved in ubiquit~ i~ s computing. brief overview of ...","https://scholar.google.com.au//scholar?cites=14124457049080952783&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"6431","RL Graham - 1994 - Pearson Education India","Concrete mathematics: a foundation for computer science"," 1994 ","","https://scholar.google.com.au//scholar?cites=13282081394110810906&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1764","PS Freedson, E Melanson, J Sirard - ? and science in sports and ?, 1998 - europepmc.org","Calibration of the Computer Science and Applications, Inc. accelerometer."," 1998 ","PURPOSE: We established accelerometer count ranges for the Computer Science and Applications, Inc.(CSA) activity monitor corresponding to commonly employed MET categories. METHODS: Data were obtained from 50 adults (25 males, 25 females) during ...","https://scholar.google.com.au//scholar?cites=11382254532418515096&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"6748","R Alur, DL Dill - Theoretical computer science, 1994 - Elsevier","A theory of timed automata"," 1994 ","Abstract We propose timed (finite) automata to model the behavior of real-time systems over time. Our definition provides a simple, and yet powerful, way to annotate state-transition graphs with timing constraints using finitely many real-valued clocks. A timed automaton ...","https://scholar.google.com.au//scholar?cites=5128853861631657281&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"5897","D Gusfield - 1997 - books.google.com","Algorithms on strings, trees and sequences: computer science and computational biology"," 1997 ","String algorithms are a traditional area of study in computer science. In recent years their importance has grown dramatically with the huge increase of electronically stored text and of molecular sequence data (DNA or protein sequences) produced by various genome ...","https://scholar.google.com.au//scholar?cites=1382349354279727985&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"2588","A Newell, HA Simon - Communications of the ACM, 1976 - dl.acm.org","Computer science as empirical inquiry: Symbols and search"," 1976 ","Abstract Computer science is the study of the phenomena surrounding computers. The founders of this society understood this very well when they called themselves the Association for Computing Machinery. The machine?not just the hardware, but the ...","https://scholar.google.com.au//scholar?cites=7187636875756814105&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"1779","SL Peyton Jones - 1987 - dl.acm.org","The implementation of functional programming languages (prentice-hall international series in computer science)"," 1987 ","The Implementation of Functional Programming Languages (Prentice-Hall International Series in Computer Science). Author: Simon L. Peyton Jones, ... Book, The Implementation of Functional Programming Languages (Prentice-Hall International Series in Computer Science). ...","https://scholar.google.com.au//scholar?cites=272573697501667082&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"8742","D Harel - Science of computer programming, 1987 - Elsevier","Statecharts: A visual formalism for complex systems"," 1987 ","Abstract We present a broad extension of the conventional formalism of state machines and state diagrams, that is relevant to the specification and design of complex discrete-event systems, such as multi-computer real-time systems, communication protocols and digital ...","https://scholar.google.com.au//scholar?cites=10946169101876823405&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"3755","KS Trivedi - 2008 - John Wiley & Sons","Probability & statistics with reliability, queuing and computer science applications"," 2008 ","","https://scholar.google.com.au//scholar?cites=16437613169743058539&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
"3532","S Goldwasser, S Micali - Journal of computer and system sciences, 1984 - Elsevier","Probabilistic encryption"," 1984 ","... The preparation of this manuscript was done when the first author was at the Laboratory of Computer Science at MIT and supported by a Bantrell fellowship and an IBM faculty development award, and the second author was at the Computer Science Department at the ...","https://scholar.google.com.au//scholar?cites=8073029509358261397&amp;as_sdt=2005&amp;sciodt=0,5&amp;hl=en",
